Perfume,Marca,Acordes,Notas
Ungaro Love,Emanuel Ungaro,"Avainillado, Especiado suave, Dulce, Atalcado, Almizclado","Vainilla, Pimienta rosa"
Ungaro Love Kiss,Emanuel Ungaro,"Florales, Tropical, Afrutados, Rosas, Dulce, Cítrico, Atalcado","Carambola, Limón siciliano (lima siciliana), Piña, Rosa, Orquídea, Fresia, Frangipani (plumeria), Plumaria, Atapaima, Almizcle blanco, Sándalo"
Ungaro Man,Emanuel Ungaro,"Fresco especiado, Tabaco, Aromático, Amaderado, Verde, Herbal, Dulce","Albahaca, Tabaco, Cedro"
Ungaro Masculin,Emanuel Ungaro,"Cítrico, Aromático, Fresco especiado, Pachulí, Amaderado, Lavanda, Dulce, Terrosos, Avainillado, Cálido especiado","Naranja, Toronja (pomelo), Manzana verde, Lavanda, Tomillo, Notas marinas, Pachulí, Haba tonka, Vetiver"
Ungaro Party,Emanuel Ungaro,"Ozónico, Acuático, Floral blanco, Florales, Fresco, Cítrico, Verde, Almizclado, Atalcado","Sandía, Limón de amalfi (lima de amalfi), Lirio de los valles (muguete), Flor de loto, Almizcle, Sándalo"
Ungaro Pour L'Homme,Emanuel Ungaro,"Aromático, Fresco especiado, Rosas, Florales, Lavanda, Ámbar, Cálido especiado, Cítrico, Musgoso, Almizclado","Lavanda, Petit grain, Limón (lima ácida), Bergamota, Agujas de pino, Clavel, Esclarea, Geranio, Rosa, Jazmín, Ajenjo (absenta), Musgo de roble, Ámbar, Almizcle, Haba tonka, Sándalo, Miel"
Ungaro Pour L Homme,Emanuel Ungaro,"Aromático, Fresco especiado, Rosas, Florales, Lavanda","Almizcle, Rosa, Jazmín, Agujas de pino, Haba tonka, Sándalo, Miel, Clavel, Lavanda, Geranio, Esclarea, Musgo de roble, Limón (lima ácida), Petitgrain, Ajenjo, Bergamota, Ámbar"
Ungaro Pour L'Homme Ii,Emanuel Ungaro,"Cítrico, Aromático, Fresco especiado, Almizclado, Atalcado, Animálico, Avainillado, Ámbar, Cálido especiado, Lavanda","Limón (lima ácida), Lavanda, Bergamota, Cilantro, Naranja, Neroli, Albahaca, Clavel, Raíz de lirio, Geranio, Jengibre, Jazmín, Rosa, Pimienta, Algalia (civet), Vainilla, Almizcle, Benjuí, Ámbar, Cuero, Haba tonka, Sándalo, Pachulí, Cedro"
Ungaro Pour L Homme Ii,Emanuel Ungaro,"Cítrico, Aromático, Almizclado, Atalcado, Cálido especiado","Algalia (civet), Cuero, Jengibre, Bergamota, Almizcle, Jazmín, Pimienta, Neroli, Limón (lima ácida), Ámbar, Raíz de lirio, Vainilla, Clavel, Lavanda, Geranio, Coriander, Benjuí, Naranja, Rosa, Pachulí, Haba tonka, Sándalo, Albahaca, Cedro"
Ungaro Pour L'Homme Iii,Emanuel Ungaro,"Aromático, Amaderado, Rosas, Vodka, Fresco especiado, Lavanda, Herbal, Terrosos, Cítrico, Cálido especiado","Vodka, Lavanda, Cilantro, Salvia, Naranja, Caoba, Limón (lima ácida), Rosa, Geranio, Jazmín, Lirio de los valles (muguete), Sándalo, Pachulí, Vetiver, Musgo de roble, Cedro, Almizcle"
Ungaro Pour L Homme Iii,Emanuel Ungaro,"Aromático, Amaderado, Rosas, Vodka, Fresco especiado","Almizcle, Naranja, Rosa, Vodka, Salvia, Jazmín, Pachulí, Sándalo, Vetiver, Mahogany, Lavanda, Lirio de los valles (muguete), Musgo de roble, Limón (lima ácida), Geranio, Coriander, Cedro"
Ungaro Pour L'Homme Iii Oud,Emanuel Ungaro,"Cálido especiado, Oud, Fresco especiado, Cacao, Aromático","Pimienta, Cardamomo, Vaina de cacao, Madera de oud"
Ungaro Pour L Homme Iii Oud,Emanuel Ungaro,"Cálido especiado, Oud, Fresco especiado, Cacao, Aromático","Madera de oud, Cardamomo, Pimienta, Cacao pod"
Ungaro Pour L’Homme Iii Parfum Aromatique,Emanuel Ungaro,"Aromático, Fresco, Amaderado, Afrutados, Fresco especiado, Ozónico, Verde, Acuático, Cítrico, Terrosos","Manzana, Limón (lima ácida), Cardamomo, Hojas de violeta, Ciprés, Calone, Tomillo, Vetiver, Abeto balsámico, Cuero, Ámbar"
Ungaro Pour L Homme Iii Parfum Aromatique,Emanuel Ungaro,"Aromático, Fresco, Amaderado, Afrutados, Ozónico","Ciprés, Cuero, Hojas de violeta, Manzana, Calone, Abeto balsámico, Tomillo, Vetiver, Cardamomo, Limón (lima ácida), Ámbar"
